Time (hours),Sum of Glucose,Batch
14.851735833333805,0.01600000075995922,20231023_1358_BR-1210
15.060069444472902,0.03400000184774399,20230307_0737_BR-1210
15.255902500008233,0.00800000037997961,20230111_0653_BR-1210
15.280902777740266,0.01600000075995922,20231023_1358_BR-1210
15.354513611120638,0.01600000075995922,20231023_1358_BR-1210
15.767083055572584,0.01600000075995922,20231023_1358_BR-1210
15.85458333324641,0.01600000075995922,20231023_1358_BR-1210
16.28236083331285,0.01600000075995922,20231023_1358_BR-1210
16.358749722247012,0.01600000075995922,20231023_1358_BR-1210
16.77263888879679,0.01600000075995922,20231023_1358_BR-1210
16.851805555459578,0.01600000075995922,20231023_1358_BR-1210
17.267083055572584,0.01600000075995922,20231023_1358_BR-1210
17.35180527769262,0.01600000075995922,20231023_1358_BR-1210
17.807361111044884,0.01600000075995922,20231023_1358_BR-1210
17.89347194437869,0.01600000075995922,20231023_1358_BR-1210
18.297639166528825,0.01600000075995922,20231023_1358_BR-1210
18.421319166664034,0.01600000075995922,20231023_1358_BR-1210
18.796319166664034,0.01600000075995922,20231023_1358_BR-1210
18.872708055423573,0.01600000075995922,20231023_1358_BR-1210
19.30465277773328,0.01600000075995922,20231023_1358_BR-1210
19.381041388842277,0.01600000075995922,20231023_1358_BR-1210
19.76020833326038,0.01600000075995922,20231023_1358_BR-1210
19.83659722219454,0.01600000075995922,20231023_1358_BR-1210
20.271319166582543,0.01600000075995922,20231023_1358_BR-1210
20.343541388749145,0.01600000075995922,20231023_1358_BR-1210
20.776874999923166,0.01600000075995922,20231023_1358_BR-1210
20.847708055574913,0.01600000075995922,20231023_1358_BR-1210
21.288055555487517,0.01600000075995922,20231023_1358_BR-1210
21.354721944371704,0.01600000075995922,20231023_1358_BR-1210
21.773126388899982,0.02199999988079071,GP_240702_BR1210
21.775555555417668,0.01600000075995922,20231023_1358_BR-1210
21.85472194442991,0.01600000075995922,20231023_1358_BR-1210
21.98527749994537,0,GP_241009_BR1210
22.06722194433678,0,GP_241009_BR1210
22.282499722146895,0.01600000075995922,20231023_1358_BR-1210
22.32277777773561,0.0020000000949949026,20240502_0858_BR-1210
22.36027749994537,0.01600000075995922,20231023_1358_BR-1210
22.436666666530073,0.0020000000949949026,20240502_0858_BR-1210
22.44777833344415,0,20230824_0925_BR-1210
22.51034805562813,0,20230824_0925_BR-1210
22.66027805552585,0,GP_241022_BR1210
22.746458333276678,0.014999999664723873,20221028_0906_BR-1210
22.758888610987924,0.01600000075995922,20231023_1358_BR-1210
22.846388888836373,0.01600000075995922,20231023_1358_BR-1210
22.860347222245764,0,GP_241022_BR1210
23.092222222185228,0,20240111_0851_BR-1210
23.09916666650679,0,20230615_0848_BR-1210
23.125833333295304,0.02,20230524_0902_BR-1210
23.167499999923166,0,20240306_0847_BR-1210
23.236666666693054,0,20240111_0851_BR-1210
23.324166666541714,0.01600000075995922,20231023_1358_BR-1210
23.339513888815418,0,20230504_0839_BR-1210
23.361736111168284,0.014999999664723873,20230518_0856_BR-1210
23.377013888850342,0.02500000037252903,20240516_0838_BR-1210
23.436736388888676,0,20230504_0839_BR-1210
23.496598333411384,0,GC_240625_BR1210
23.54458472225815,0,GC_240730_BR1210
23.546458333265036,0.012000000104308128,20221117_0815_BR-1210
23.61472222226439,0.02,20230524_0902_BR-1210
23.80888916674303,0,20221115_0832_BR-1210
23.864513888780493,0.01600000075995922,20231023_1358_BR-1210
24.119999999937136,0.00800000037997961,20230111_0653_BR-1210
24.119999999937136,0.035999998450279236,20230307_0737_BR-1210
24.311735833296552,0.01600000075995922,20231023_1358_BR-1210
